https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume KMD,Volume USDT,tradecount
1694995200000,2023-09-18,KMDUSDT,0.2151,0.2295,0.213,0.2179,3606765.0,803996.6602,10456
1694908800000,2023-09-17,KMDUSDT,0.2227,0.2231,0.2132,0.2148,2001380.0,438415.6629,5458
1694822400000,2023-09-16,KMDUSDT,0.2243,0.2289,0.2189,0.2226,1580556.0,350842.7723,4354
1694736000000,2023-09-15,KMDUSDT,0.2183,0.2291,0.2175,0.2242,3142011.0,702306.2394,7863
1694649600000,2023-09-14,KMDUSDT,0.2166,0.2237,0.2159,0.2184,2645428.0,583566.0329,5740
1694563200000,2023-09-13,KMDUSDT,0.2134,0.2217,0.2125,0.2169,1841724.0,399636.0962,5841
1694476800000,2023-09-12,KMDUSDT,0.2163,0.2259,0.2123,0.2131,5468403.0,1200188.4545,12444
1694390400000,2023-09-11,KMDUSDT,0.2123,0.2433,0.2055,0.2163,15002361.0,3344008.1804,34734
1694304000000,2023-09-10,KMDUSDT,0.2167,0.2212,0.2103,0.2119,1932359.0,415453.8677,4413
1694217600000,2023-09-09,KMDUSDT,0.226,0.234,0.2157,0.2168,5209768.0,1175747.357,10410
1694131200000,2023-09-08,KMDUSDT,0.2167,0.2333,0.2122,0.2262,11803997.0,2670595.1109,26965
1694044800000,2023-09-07,KMDUSDT,0.214,0.2212,0.2115,0.2166,1906058.0,410964.9211,4638
1693958400000,2023-09-06,KMDUSDT,0.2151,0.2172,0.2091,0.214,2235868.0,476867.5285,4079
1693872000000,2023-09-05,KMDUSDT,0.223,0.225,0.2111,0.2154,4621419.0,1003424.8515,8818
1693785600000,2023-09-04,KMDUSDT,0.206,0.2415,0.206,0.2234,24535799.0,5542408.4176,47531
1693699200000,2023-09-03,KMDUSDT,0.2095,0.2161,0.2053,0.2059,2714486.0,568996.8242,4764
1693612800000,2023-09-02,KMDUSDT,0.2171,0.2172,0.2074,0.2094,3417025.0,723591.466,6507
1693526400000,2023-09-01,KMDUSDT,0.2332,0.2338,0.2155,0.2172,5126046.0,1146817.9376,10171
1693440000000,2023-08-31,KMDUSDT,0.223,0.26,0.2214,0.2336,29460859.0,7088608.2205,64570
1693353600000,2023-08-30,KMDUSDT,0.2259,0.2305,0.22,0.223,4348859.0,973224.2532,8160
1693267200000,2023-08-29,KMDUSDT,0.2302,0.235,0.221,0.2259,6636858.0,1514772.6874,12487
1693180800000,2023-08-28,KMDUSDT,0.242,0.2466,0.2252,0.2302,10231493.0,2393542.1663,23963
1693094400000,2023-08-27,KMDUSDT,0.2631,0.279,0.2401,0.2419,26121678.0,6785650.746,59720
1693008000000,2023-08-26,KMDUSDT,0.2358,0.2989,0.2332,0.2631,35642831.0,9228938.5844,80946
1692921600000,2023-08-25,KMDUSDT,0.2911,0.3348,0.2322,0.2361,69818351.0,19723800.5547,166291
1692835200000,2023-08-24,KMDUSDT,0.1933,0.354,0.1929,0.2906,117912521.0,34324675.036,255474
1692748800000,2023-08-23,KMDUSDT,0.1904,0.1947,0.188,0.1932,520350.0,99830.2288,1429
1692662400000,2023-08-22,KMDUSDT,0.1924,0.1925,0.186,0.1904,815827.0,154376.8482,2408
1692576000000,2023-08-21,KMDUSDT,0.1956,0.1989,0.1905,0.1922,591666.0,114722.3143,1757
1692489600000,2023-08-20,KMDUSDT,0.1962,0.1972,0.1939,0.1955,333180.0,65158.1129,854
1692403200000,2023-08-19,KMDUSDT,0.1958,0.1975,0.1923,0.1962,400055.0,78134.1121,1055
1692316800000,2023-08-18,KMDUSDT,0.1974,0.1984,0.1929,0.1955,627792.0,122807.8315,2111
1692230400000,2023-08-17,KMDUSDT,0.2129,0.2131,0.1921,0.1974,1197534.0,244918.7993,3557
1692144000000,2023-08-16,KMDUSDT,0.2189,0.2192,0.2103,0.2125,806452.0,173207.1752,2194
1692057600000,2023-08-15,KMDUSDT,0.2273,0.2323,0.2186,0.2189,1156136.0,261562.2595,3313
1691971200000,2023-08-14,KMDUSDT,0.2272,0.2299,0.2249,0.2273,667596.0,152168.2046,1960
1691884800000,2023-08-13,KMDUSDT,0.2246,0.2297,0.2232,0.2269,413020.0,93436.6375,1614
1691798400000,2023-08-12,KMDUSDT,0.2268,0.228,0.2214,0.2247,360865.0,81121.8154,1159
1691712000000,2023-08-11,KMDUSDT,0.2284,0.2289,0.2242,0.2268,284497.0,64366.0381,1148
1691625600000,2023-08-10,KMDUSDT,0.2298,0.2315,0.2268,0.2283,372144.0,85130.4588,1393
1691539200000,2023-08-09,KMDUSDT,0.2311,0.232,0.2274,0.2298,423289.0,97305.4359,1392
1691452800000,2023-08-08,KMDUSDT,0.2313,0.2339,0.2293,0.2308,1008843.0,233509.9592,3302
1691366400000,2023-08-07,KMDUSDT,0.2253,0.2332,0.225,0.2316,1342085.0,308836.741,3672
1691280000000,2023-08-06,KMDUSDT,0.2289,0.2312,0.2232,0.2252,780107.0,176745.8944,1794
1691193600000,2023-08-05,KMDUSDT,0.2267,0.2294,0.2236,0.2285,403258.0,91258.6212,1342
1691107200000,2023-08-04,KMDUSDT,0.23,0.2306,0.2246,0.2265,338642.0,77128.7062,1088
1691020800000,2023-08-03,KMDUSDT,0.2299,0.231,0.228,0.2298,192131.0,44134.2522,922
1690934400000,2023-08-02,KMDUSDT,0.2328,0.2362,0.2288,0.2298,455026.0,105716.4759,1606
1690848000000,2023-08-01,KMDUSDT,0.2337,0.2347,0.2279,0.233,614740.0,142049.5431,2065
1690761600000,2023-07-31,KMDUSDT,0.2352,0.2383,0.2305,0.2332,401530.0,94126.4587,1329
1690675200000,2023-07-30,KMDUSDT,0.243,0.2518,0.2287,0.2347,1822559.0,435698.1808,4387
