https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTCDOWN,Volume USDT,tradecount
1688774400000,2023-07-08,BTCDOWNUSDT,0.006662,0.006799,0.006633,0.006686,37371621.11,250977.18776513,2503
1688688000000,2023-07-07,BTCDOWNUSDT,0.006863,0.006955,0.006604,0.006653,89623290.62,603969.40471526,9056
1688601600000,2023-07-06,BTCDOWNUSDT,0.006571,0.006884,0.006111,0.006863,237621468.34,1549178.43070312,29062
1688515200000,2023-07-05,BTCDOWNUSDT,0.006453,0.006714,0.0064,0.006572,104119610.98,684941.937514,12669
1688428800000,2023-07-04,BTCDOWNUSDT,0.006282,0.006515,0.006206,0.006457,103577548.47,658207.57339532,9505
1688342400000,2023-07-03,BTCDOWNUSDT,0.006532,0.00655,0.006166,0.00628,146755706.69,936167.37625366,15182
1688256000000,2023-07-02,BTCDOWNUSDT,0.006555,0.006718,0.006454,0.006532,66515746.21,437082.47526862,5013
1688169600000,2023-07-01,BTCDOWNUSDT,0.006585,0.006675,0.0065,0.006552,44902359.05,295376.07184331,2372
1688083200000,2023-06-30,BTCDOWNUSDT,0.006598,0.00702,0.006238,0.006587,244343763.23,1610346.44542045,21802
1687996800000,2023-06-29,BTCDOWNUSDT,0.00677,0.006777,0.006437,0.006598,118870742.33,782748.54428217,9758
1687910400000,2023-06-28,BTCDOWNUSDT,0.0065,0.006857,0.006487,0.006759,132067138.25,883171.67663396,12719
1687824000000,2023-06-27,BTCDOWNUSDT,0.006681,0.0067,0.006362,0.006501,119749902.02,784064.03974668,7739
1687737600000,2023-06-26,BTCDOWNUSDT,0.006586,0.00683,0.006501,0.006685,146421287.63,977426.95015329,10176
1687651200000,2023-06-25,BTCDOWNUSDT,0.006544,0.006666,0.006331,0.006586,119526502.19,777800.30966786,9151
1687564800000,2023-06-24,BTCDOWNUSDT,0.006495,0.00667,0.006436,0.006544,119202980.04,777667.50459224,8467
1687478400000,2023-06-23,BTCDOWNUSDT,0.006871,0.0069,0.006135,0.006491,269189895.93,1753072.22105313,24023
1687392000000,2023-06-22,BTCDOWNUSDT,0.006816,0.007035,0.006566,0.00687,261208098.84,1770512.46692058,19833
1687305600000,2023-06-21,BTCDOWNUSDT,0.007775,0.007815,0.006433,0.006814,461576591.57,3272734.01191123,41547
1687219200000,2023-06-20,BTCDOWNUSDT,0.00875,0.008885,0.007718,0.007772,229555866.32,1891358.80541452,33801
1687132800000,2023-06-19,BTCDOWNUSDT,0.009098,0.00915,0.008555,0.008752,82436421.99,733314.4946216,6855
1687046400000,2023-06-18,BTCDOWNUSDT,0.008955,0.00914,0.008815,0.009108,55662907.12,499118.04757782,4882
1686960000000,2023-06-17,BTCDOWNUSDT,0.009092,0.009214,0.008678,0.008955,76907865.03,689905.90906164,8507
1686873600000,2023-06-16,BTCDOWNUSDT,0.009651,0.00993,0.008966,0.009103,109812002.29,1028049.27163113,15187
1686787200000,2023-06-15,BTCDOWNUSDT,0.009985,0.010202,0.00953,0.009643,73655338.76,730529.32623383,6589
1686700800000,2023-06-14,BTCDOWNUSDT,0.0094,0.010198,0.009293,0.009967,73312088.54,708433.51145057,9830
1686614400000,2023-06-13,BTCDOWNUSDT,0.009404,0.009542,0.009056,0.0094,63489773.81,592550.74243829,6249
1686528000000,2023-06-12,BTCDOWNUSDT,0.009414,0.009623,0.00929,0.00941,57560746.44,543440.48433245,7936
1686441600000,2023-06-11,BTCDOWNUSDT,0.00946,0.009592,0.009213,0.009405,36664772.68,346125.20943111,4002
1686355200000,2023-06-10,BTCDOWNUSDT,0.00906,0.0098,0.009038,0.009454,111037341.7,1051516.38834352,16761
1686268800000,2023-06-09,BTCDOWNUSDT,0.009039,0.009179,0.00885,0.009054,43315132.71,390333.67567609,3838
1686182400000,2023-06-08,BTCDOWNUSDT,0.009124,0.009202,0.008829,0.009039,50481335.87,455785.85132117,5951
1686096000000,2023-06-07,BTCDOWNUSDT,0.008575,0.00925,0.008465,0.009122,130761889.73,1166328.44412397,20571
1686009600000,2023-06-06,BTCDOWNUSDT,0.009549,0.0098,0.008488,0.00858,145498373.87,1325559.87695497,25286
1685923200000,2023-06-05,BTCDOWNUSDT,0.008704,0.009756,0.008699,0.009543,130451805.07,1212833.31254299,23001
