https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume STMX,Volume BUSD,tradecount
1682985600000,2023-05-02,STMXBUSD,0.005284,0.005376,0.005228,0.005332,42885502.0,227517.622277,1733
1682899200000,2023-05-01,STMXBUSD,0.005548,0.005548,0.00525,0.005292,52829253.0,283470.009024,1673
1682812800000,2023-04-30,STMXBUSD,0.005852,0.006071,0.005518,0.005551,105937667.0,604896.841928,3956
1682726400000,2023-04-29,STMXBUSD,0.005822,0.006693,0.00578,0.005844,410012137.0,2546292.453471,17825
1682640000000,2023-04-28,STMXBUSD,0.005552,0.00616,0.005452,0.005822,241703681.0,1410254.373182,12419
1682553600000,2023-04-27,STMXBUSD,0.005611,0.005822,0.005422,0.005552,57317167.0,320036.410351,2969
1682467200000,2023-04-26,STMXBUSD,0.005582,0.006074,0.005429,0.005606,167815032.0,974593.885199,8500
1682380800000,2023-04-25,STMXBUSD,0.005458,0.005629,0.005229,0.00558,62019936.0,336574.20663,3418
1682294400000,2023-04-24,STMXBUSD,0.005429,0.005634,0.005275,0.005444,54111586.0,296155.278698,3348
1682208000000,2023-04-23,STMXBUSD,0.005488,0.005556,0.005322,0.005437,29916834.0,163125.053793,1814
1682121600000,2023-04-22,STMXBUSD,0.005419,0.0055,0.005361,0.005493,31197083.0,169456.283108,1655
1682035200000,2023-04-21,STMXBUSD,0.005509,0.00575,0.005352,0.005421,63475888.0,353672.279108,3869
1681948800000,2023-04-20,STMXBUSD,0.00549,0.00565,0.0054,0.005522,57109652.0,315824.252224,3026
1681862400000,2023-04-19,STMXBUSD,0.006052,0.006061,0.005395,0.0055,51649819.0,295346.864423,2765
1681776000000,2023-04-18,STMXBUSD,0.005956,0.006077,0.005887,0.006061,29333457.0,176491.168504,968
1681689600000,2023-04-17,STMXBUSD,0.0062,0.006212,0.005894,0.005947,45658490.0,275338.296935,1479
1681603200000,2023-04-16,STMXBUSD,0.006093,0.006409,0.005971,0.006195,42109590.0,257357.222246,1476
