https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume POLY,Volume BTC,tradecount
1661990400000,2022-09-01,POLYBTC,9.65e-06,9.66e-06,9.37e-06,9.51e-06,282864.0,2.68480235,5074
1661904000000,2022-08-31,POLYBTC,9.72e-06,9.79e-06,9.58e-06,9.66e-06,211368.0,2.04171176,2110
1661817600000,2022-08-30,POLYBTC,9.48e-06,9.75e-06,9.43e-06,9.7e-06,264760.0,2.54246174,852
1661731200000,2022-08-29,POLYBTC,9.45e-06,9.47e-06,9.23e-06,9.47e-06,354016.0,3.30816561,2462
1661644800000,2022-08-28,POLYBTC,9.36e-06,9.75e-06,9.32e-06,9.41e-06,617757.0,5.8774784,2385
1661558400000,2022-08-27,POLYBTC,9.31e-06,9.94e-06,9.22e-06,9.41e-06,962165.0,9.08844902,4772
1661472000000,2022-08-26,POLYBTC,9.51e-06,9.62e-06,9.27e-06,9.35e-06,333264.0,3.13899359,2430
1661385600000,2022-08-25,POLYBTC,9.33e-06,9.79e-06,9.25e-06,9.52e-06,635622.0,6.05202915,1624
1661299200000,2022-08-24,POLYBTC,9.26e-06,9.39e-06,9.09e-06,9.3e-06,409545.0,3.78766812,708
1661212800000,2022-08-23,POLYBTC,9.2e-06,9.46e-06,9.13e-06,9.3e-06,285920.0,2.65171025,872
1661126400000,2022-08-22,POLYBTC,9.39e-06,9.48e-06,8.96e-06,9.2e-06,325417.0,2.96741465,966
1661040000000,2022-08-21,POLYBTC,9.23e-06,9.66e-06,9.18e-06,9.39e-06,760691.0,7.06813371,4260
1660953600000,2022-08-20,POLYBTC,9.4e-06,9.64e-06,9.18e-06,9.23e-06,250822.0,2.34812433,750
1660867200000,2022-08-19,POLYBTC,9.61e-06,9.61e-06,9.04e-06,9.41e-06,783142.0,7.26753591,2632
1660780800000,2022-08-18,POLYBTC,9.75e-06,1.016e-05,9.55e-06,9.56e-06,455412.0,4.43096716,1134
1660694400000,2022-08-17,POLYBTC,9.84e-06,9.86e-06,9.63e-06,9.74e-06,192398.0,1.87306343,533
1660608000000,2022-08-16,POLYBTC,9.97e-06,1.004e-05,9.71e-06,9.84e-06,220746.0,2.17163629,736
1660521600000,2022-08-15,POLYBTC,9.78e-06,1.058e-05,9.65e-06,1.002e-05,1256194.0,12.67381803,4740
1660435200000,2022-08-14,POLYBTC,9.94e-06,9.95e-06,9.73e-06,9.82e-06,151553.0,1.49270342,577
1660348800000,2022-08-13,POLYBTC,1.004e-05,1.017e-05,9.78e-06,9.98e-06,198161.0,1.96736657,874
1660262400000,2022-08-12,POLYBTC,1.01e-05,1.034e-05,9.7e-06,1.011e-05,1272266.0,12.68076226,2744
1660176000000,2022-08-11,POLYBTC,9.62e-06,1.018e-05,9.47e-06,1.008e-05,1594178.0,15.57115483,5289
1660089600000,2022-08-10,POLYBTC,9.48e-06,1.036e-05,9.32e-06,9.61e-06,1398489.0,13.5928398,3532
1660003200000,2022-08-09,POLYBTC,9.68e-06,9.73e-06,9.44e-06,9.49e-06,238979.0,2.28541962,660
1659916800000,2022-08-08,POLYBTC,9.87e-06,9.92e-06,9.57e-06,9.71e-06,225579.0,2.18909443,649
1659830400000,2022-08-07,POLYBTC,1.009e-05,1.018e-05,9.84e-06,9.92e-06,355063.0,3.52155145,728
1659744000000,2022-08-06,POLYBTC,9.85e-06,1.019e-05,9.82e-06,1.014e-05,369725.0,3.69045289,1928
1659657600000,2022-08-05,POLYBTC,9.83e-06,9.89e-06,9.66e-06,9.89e-06,132619.0,1.29484689,534
1659571200000,2022-08-04,POLYBTC,9.62e-06,9.85e-06,9.47e-06,9.83e-06,209201.0,2.01058617,1141
1659484800000,2022-08-03,POLYBTC,9.73e-06,9.73e-06,9.48e-06,9.68e-06,227111.0,2.17288093,839
1659398400000,2022-08-02,POLYBTC,1.008e-05,1.01e-05,9.45e-06,9.72e-06,363551.0,3.50277421,1140
1659312000000,2022-08-01,POLYBTC,9.53e-06,1.024e-05,9.48e-06,1.01e-05,2552174.0,24.95620798,4401
1659225600000,2022-07-31,POLYBTC,9.09e-06,9.54e-06,9.02e-06,9.53e-06,1503642.0,14.00564867,2479
1659139200000,2022-07-30,POLYBTC,8.99e-06,9.78e-06,8.89e-06,9.12e-06,1830087.0,17.01166237,2822
1659052800000,2022-07-29,POLYBTC,9.02e-06,9.05e-06,8.84e-06,9.01e-06,510027.0,4.55745836,796
1658966400000,2022-07-28,POLYBTC,9.16e-06,9.17e-06,8.91e-06,9.02e-06,377459.0,3.40650815,835
1658880000000,2022-07-27,POLYBTC,9.41e-06,9.44e-06,8.95e-06,9.11e-06,506399.0,4.63802279,976
1658793600000,2022-07-26,POLYBTC,9.22e-06,9.51e-06,9.12e-06,9.41e-06,314308.0,2.94601303,886
1658707200000,2022-07-25,POLYBTC,9.4e-06,9.41e-06,9.11e-06,9.2e-06,461369.0,4.25455119,1090
1658620800000,2022-07-24,POLYBTC,9.51e-06,9.51e-06,9.28e-06,9.4e-06,201647.0,1.89229187,609
1658534400000,2022-07-23,POLYBTC,9.3e-06,9.8e-06,9.3e-06,9.54e-06,834339.0,7.94437397,2245
1658448000000,2022-07-22,POLYBTC,9.32e-06,9.36e-06,9.07e-06,9.29e-06,682847.0,6.2938695,1423
1658361600000,2022-07-21,POLYBTC,9.5e-06,9.5e-06,9.02e-06,9.38e-06,2013309.0,18.55454185,3721
1658275200000,2022-07-20,POLYBTC,9.16e-06,1.057e-05,9.02e-06,9.47e-06,5006892.0,49.17814905,11164
1658188800000,2022-07-19,POLYBTC,9.38e-06,9.54e-06,9.06e-06,9.19e-06,630394.0,5.86769837,1467
1658102400000,2022-07-18,POLYBTC,9.49e-06,9.6e-06,9.19e-06,9.33e-06,725796.0,6.80410555,1551
1658016000000,2022-07-17,POLYBTC,9.56e-06,9.56e-06,9.33e-06,9.5e-06,162624.0,1.53267394,636
1657929600000,2022-07-16,POLYBTC,9.54e-06,9.8e-06,9.36e-06,9.56e-06,336636.0,3.22522295,977
1657843200000,2022-07-15,POLYBTC,9.56e-06,9.66e-06,9.4e-06,9.57e-06,257226.0,2.44287623,735
1657756800000,2022-07-14,POLYBTC,9.6e-06,9.61e-06,9.35e-06,9.61e-06,275765.0,2.61119798,856
1657670400000,2022-07-13,POLYBTC,9.71e-06,1.011e-05,9.48e-06,9.62e-06,689233.0,6.71715567,1639
1657584000000,2022-07-12,POLYBTC,9.56e-06,1.071e-05,9.48e-06,9.71e-06,2222661.0,22.36959493,4274
1657497600000,2022-07-11,POLYBTC,9.96e-06,1.042e-05,9.47e-06,9.56e-06,788757.0,7.65079053,1650
1657411200000,2022-07-10,POLYBTC,9.73e-06,1.03e-05,9.54e-06,9.97e-06,681071.0,6.7722562,1711
1657324800000,2022-07-09,POLYBTC,9.5e-06,9.79e-06,9.39e-06,9.71e-06,264821.0,2.53047693,873
1657238400000,2022-07-08,POLYBTC,9.25e-06,9.56e-06,9.03e-06,9.47e-06,648505.0,6.02917221,1708
1657152000000,2022-07-07,POLYBTC,9.46e-06,9.54e-06,9.13e-06,9.25e-06,331996.0,3.10549686,1027
1657065600000,2022-07-06,POLYBTC,9.61e-06,9.98e-06,9.47e-06,9.51e-06,598663.0,5.76187427,1255
1656979200000,2022-07-05,POLYBTC,9.74e-06,9.83e-06,9.46e-06,9.63e-06,574609.0,5.53094263,1222
1656892800000,2022-07-04,POLYBTC,9.89e-06,1.064e-05,9.68e-06,9.81e-06,1446908.0,14.66875053,3732
1656806400000,2022-07-03,POLYBTC,9.81e-06,1.05e-05,9.62e-06,9.86e-06,1096246.0,10.88501675,2599
1656720000000,2022-07-02,POLYBTC,9.98e-06,9.98e-06,9.61e-06,9.8e-06,571302.0,5.5815641,1468
1656633600000,2022-07-01,POLYBTC,9.28e-06,1.258e-05,9.12e-06,1.002e-05,5645733.0,60.20447291,16917
1656547200000,2022-06-30,POLYBTC,9.52e-06,1.004e-05,9.1e-06,9.29e-06,1536578.0,14.51941978,3779
1656460800000,2022-06-29,POLYBTC,1.008e-05,1.013e-05,9.42e-06,9.52e-06,519269.0,5.0270161,1380
1656374400000,2022-06-28,POLYBTC,1.013e-05,1.103e-05,9.8e-06,1.007e-05,1977778.0,20.22989814,4591
1656288000000,2022-06-27,POLYBTC,9.36e-06,1.095e-05,9.2e-06,1.011e-05,3483194.0,35.14090896,9189
1656201600000,2022-06-26,POLYBTC,9.55e-06,9.59e-06,9.32e-06,9.39e-06,252314.0,2.38057278,889
1656115200000,2022-06-25,POLYBTC,9.69e-06,9.69e-06,9.34e-06,9.56e-06,258350.0,2.45379632,848
1656028800000,2022-06-24,POLYBTC,9.52e-06,9.7e-06,9.33e-06,9.7e-06,302972.0,2.88481387,980
1655942400000,2022-06-23,POLYBTC,9.47e-06,9.56e-06,9.17e-06,9.56e-06,378634.0,3.53807882,1096
1655856000000,2022-06-22,POLYBTC,9.21e-06,9.51e-06,9.04e-06,9.48e-06,416346.0,3.84240033,942
1655769600000,2022-06-21,POLYBTC,9.03e-06,9.66e-06,8.83e-06,9.27e-06,925537.0,8.42591937,1993
1655683200000,2022-06-20,POLYBTC,8.85e-06,9.02e-06,8.62e-06,9.01e-06,682865.0,6.01288077,1523
1655596800000,2022-06-19,POLYBTC,8.97e-06,9.9e-06,8.72e-06,8.83e-06,2965914.0,27.57852292,4613
1655510400000,2022-06-18,POLYBTC,8.86e-06,9.09e-06,8.58e-06,8.96e-06,892360.0,7.89665897,1802
1655424000000,2022-06-17,POLYBTC,8.43e-06,8.91e-06,8.32e-06,8.85e-06,623884.0,5.34796035,1420
1655337600000,2022-06-16,POLYBTC,8.1e-06,8.94e-06,7.99e-06,8.42e-06,1343035.0,11.30823861,2897
1655251200000,2022-06-15,POLYBTC,7.72e-06,8.15e-06,7.53e-06,8.14e-06,1098995.0,8.52505054,2246
1655164800000,2022-06-14,POLYBTC,7.6e-06,7.74e-06,7.03e-06,7.66e-06,1082695.0,8.0602023,2040
1655078400000,2022-06-13,POLYBTC,7.44e-06,7.74e-06,6.75e-06,7.59e-06,2278942.0,16.34352139,3503
1654992000000,2022-06-12,POLYBTC,7.69e-06,8.28e-06,7.1e-06,7.39e-06,1363893.0,10.33940498,3680
1654905600000,2022-06-11,POLYBTC,8.13e-06,8.24e-06,7.52e-06,7.67e-06,564410.0,4.38234144,2099
1654819200000,2022-06-10,POLYBTC,8.48e-06,8.58e-06,7.98e-06,8.14e-06,878521.0,7.1934338,1932
1654732800000,2022-06-09,POLYBTC,8.85e-06,8.96e-06,8.18e-06,8.49e-06,839987.0,7.12456848,1665
1654646400000,2022-06-08,POLYBTC,9.18e-06,9.18e-06,8.67e-06,8.85e-06,1629622.0,14.42889599,3714
1654560000000,2022-06-07,POLYBTC,8.64e-06,1.093e-05,8.64e-06,9.17e-06,8128601.0,80.6431161,24645
1654473600000,2022-06-06,POLYBTC,8.83e-06,9.33e-06,8.39e-06,8.63e-06,1669933.0,14.75445218,3378
1654387200000,2022-06-05,POLYBTC,8.48e-06,9.4e-06,8.27e-06,8.83e-06,2558384.0,22.71195837,6283
1654300800000,2022-06-04,POLYBTC,8.36e-06,8.5e-06,8.08e-06,8.43e-06,526071.0,4.35473843,1370
1654214400000,2022-06-03,POLYBTC,8.52e-06,9.1e-06,8.12e-06,8.35e-06,1203513.0,10.10656687,2388
