https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINA,Volume USDT,tradecount
1686009600000,2023-06-06,LINAUSDT,0.014485,0.0156,0.013792,0.014585,2057207114.68,29670493.18287729,129421
1685923200000,2023-06-05,LINAUSDT,0.016221,0.01645,0.013662,0.014477,3915176427.85,59033408.42035379,254630
1685836800000,2023-06-04,LINAUSDT,0.017528,0.017557,0.015392,0.016223,3243628111.68,53455821.96169742,231928
1685750400000,2023-06-03,LINAUSDT,0.022276,0.022899,0.017231,0.01753,4808089585.1,91275224.79720569,439226
1685664000000,2023-06-02,LINAUSDT,0.023189,0.02944,0.021424,0.0223,7187567802.710001,179362320.40444636,694982
1685577600000,2023-06-01,LINAUSDT,0.023117,0.02424,0.021185,0.023217,4296778296.11,98046286.6655539,327074
1685491200000,2023-05-31,LINAUSDT,0.023064,0.026345,0.020069,0.023119,7458102686.790001,169464504.3964102,553817
1685404800000,2023-05-30,LINAUSDT,0.017791,0.0265,0.016485,0.023038,9728896651.86,208030222.6267576,913148
1685318400000,2023-05-29,LINAUSDT,0.015022,0.021,0.014736,0.017799,6567046860.870001,114571749.9808346,526659
1685232000000,2023-05-28,LINAUSDT,0.01237,0.0163,0.012229,0.015022,3309589338.78,45745218.61373555,231488
1685145600000,2023-05-27,LINAUSDT,0.010569,0.0129,0.010438,0.012363,2943371039.08,35353195.94761816,194766
1685059200000,2023-05-26,LINAUSDT,0.010589,0.01095,0.010276,0.010564,492820770.06,5196046.55021811,27128
1684972800000,2023-05-25,LINAUSDT,0.010811,0.010872,0.010469,0.010593,576144868.11,6138748.91646064,33368
1684886400000,2023-05-24,LINAUSDT,0.011469,0.0119,0.010344,0.010807,1847836542.1,20523639.60175381,87591
1684800000000,2023-05-23,LINAUSDT,0.010403,0.011896,0.010267,0.011475,1646752197.32,18320283.20134531,83328
1684713600000,2023-05-22,LINAUSDT,0.009858,0.010633,0.009569,0.010398,941763772.34,9601849.7270822,45000
1684627200000,2023-05-21,LINAUSDT,0.010222,0.010253,0.009735,0.009859,420826037.09,4208255.54701436,21700
1684540800000,2023-05-20,LINAUSDT,0.010313,0.010409,0.01,0.010225,412399504.92,4189938.30917476,22407
1684454400000,2023-05-19,LINAUSDT,0.010495,0.010676,0.010188,0.010308,624523649.28,6484895.16560268,34924
